,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
0,27,83.0,1.0,56.0,-0.0034233865390361374,2022-11-11 10:02:21,2022-11-11 10:05:09
1,83,89.0,-1.0,6.0,-0.001149587176945813,2022-11-11 10:05:09,2022-11-11 10:05:27
2,89,101.0,1.0,12.0,0.0008940545968807142,2022-11-11 10:05:27,2022-11-11 10:06:03
3,101,110.0,-1.0,9.0,-0.0023400852626401882,2022-11-11 10:06:03,2022-11-11 10:06:30
4,110,166.0,1.0,56.0,-0.0049206093467627655,2022-11-11 10:06:30,2022-11-11 10:09:18
5,166,183.0,-1.0,17.0,0.003493889254255838,2022-11-11 10:09:18,2022-11-11 10:10:09
6,183,474.0,1.0,291.0,-0.01925322869368454,2022-11-11 10:10:09,2022-11-11 10:24:42
7,474,483.0,-1.0,9.0,-0.0013065915511553004,2022-11-11 10:24:42,2022-11-11 10:25:09
8,483,492.0,1.0,9.0,0.0004589612258337291,2022-11-11 10:25:09,2022-11-11 10:25:36
9,492,496.0,-1.0,4.0,0.0005301903066290617,2022-11-11 10:25:36,2022-11-11 10:25:48
10,496,535.0,1.0,39.0,-0.00399079578009244,2022-11-11 10:25:48,2022-11-11 10:27:45
11,535,578.0,-1.0,43.0,0.0023888111839466424,2022-11-11 10:27:45,2022-11-11 10:29:54
12,578,594.0,1.0,16.0,0.004465324226066946,2022-11-11 10:29:54,2022-11-11 10:30:42
13,594,600.0,-1.0,6.0,-0.003302350502100469,2022-11-11 10:30:42,2022-11-11 10:31:00
14,600,656.0,1.0,56.0,0.0038246814771488663,2022-11-11 10:31:00,2022-11-11 10:33:48
15,656,670.0,-1.0,14.0,-0.0002367333981130708,2022-11-11 10:33:48,2022-11-11 10:34:30
16,670,707.0,1.0,37.0,0.0021370791220107193,2022-11-11 10:34:30,2022-11-11 10:36:21
17,707,718.0,-1.0,11.0,0.0006782486299186334,2022-11-11 10:36:21,2022-11-11 10:36:54
18,718,734.0,1.0,16.0,-0.00582109486870408,2022-11-11 10:36:54,2022-11-11 10:37:42
19,734,735.0,-1.0,1.0,-0.0010005003335836456,2022-11-11 10:37:42,2022-11-11 10:37:45
20,735,737.0,1.0,2.0,-1.1102230246251565e-16,2022-11-11 10:37:45,2022-11-11 10:37:51
21,737,738.0,-1.0,1.0,-0.0010005003335834233,2022-11-11 10:37:51,2022-11-11 10:37:54
22,738,744.0,1.0,6.0,0.000921375986558116,2022-11-11 10:37:54,2022-11-11 10:38:12
23,744,758.0,-1.0,14.0,-0.0010005003335835344,2022-11-11 10:38:12,2022-11-11 10:38:54
24,758,761.0,1.0,3.0,0.0009205278342567742,2022-11-11 10:38:54,2022-11-11 10:39:03
25,761,763.0,-1.0,2.0,-0.002992075101397116,2022-11-11 10:39:03,2022-11-11 10:39:09
26,763,1041.0,1.0,278.0,0.012320484388039779,2022-11-11 10:39:09,2022-11-11 10:53:03
27,1041,1043.0,-1.0,2.0,0.0017242969926018108,2022-11-11 10:53:03,2022-11-11 10:53:09
28,1043,1053.0,1.0,10.0,0.0018173562475820625,2022-11-11 10:53:09,2022-11-11 10:53:39
29,1053,1081.0,-1.0,28.0,-0.000546470813865753,2022-11-11 10:53:39,2022-11-11 10:55:03
30,1081,1084.0,1.0,3.0,0.006638527699165031,2022-11-11 10:55:03,2022-11-11 10:55:12
31,1084,1091.0,-1.0,7.0,0.0005043908458362825,2022-11-11 10:55:12,2022-11-11 10:55:33
32,1091,1096.0,1.0,5.0,0.0,2022-11-11 10:55:33,2022-11-11 10:55:48
33,1096,1154.0,-1.0,58.0,-0.004308276616729346,2022-11-11 10:55:48,2022-11-11 10:58:42
34,1154,1164.0,1.0,10.0,0.0006002401140599063,2022-11-11 10:58:42,2022-11-11 10:59:12
35,1164,1207.0,-1.0,43.0,0.0017034219988172606,2022-11-11 10:59:12,2022-11-11 11:01:21
36,1207,1226.0,1.0,19.0,0.00030079711461556053,2022-11-11 11:01:21,2022-11-11 11:02:18
37,1226,1229.0,-1.0,3.0,0.0020115501364084015,2022-11-11 11:02:18,2022-11-11 11:02:27
38,1229,1337.0,1.0,108.0,-0.0028698758463298357,2022-11-11 11:02:27,2022-11-11 11:07:51
